구상권코드,상권코드명,행정동코드
2110753,시흥동 은행나무사거리,11545710
2110427,노원 을지대학교병원,11350611
2110755,동일여자고등학교,11545680
2110739,시흥3동 우편취급국,11545690
2111017,송파나루역 3번,11710562
2110249,중화역 1번,11260600
2110963,역삼월드메르디앙아파트,11680640
2110332,돌곶이역 3번,11290770
2110245,KB국민은행 중화동지점,11260610
2110719,영서중학교,11530540
2110932,서울시인재개발원,11650510
2110933,한국상담대학원대학교,11650510
2110868,남부초등학교,11620685
2110395,신한은행 방학동지점,11320690
2110393,국민은행방학지점,11320710
2110114,왕십리파출소,11200535
2110760,선유도역 6번,11560620
2111068,강동성심병원,11740685
2110619,목4동주민센터,11470540
2110093,우사단길,11170685
2110734,금천파출소,11545670
2111030,방이역 2번,11710570
2110573,신촌역 6번,11440600
2110053,청구역 1번,11140615
2110972,강남세브란스병원미래의학연구센터,11680650
2110911,방배배수지체육공원,11650620
2110969,베르사이유1아파트,11680650
2111002,한국교통안전공단 강남자동차검사소,11680700
2110863,난우초등학교,11620765
2110751,난곡중학교,11545630
2110993,개포지하차도 북측,11680660
2110725,가산동주민센터,11545510
2110723,가산디지털단지역 1번 출입구,11545510
2110938,바우뫼공원,11650651
2110999,윗방죽마을공원,11680700
2110941,언남고등학교,11650652
2110087,이태원엔틱가구거리,11170650
2110094,오산중학교,11170700
2110262,상봉역 3번,11260590
2110279,신내역 2번,11260655
2110107,금호사거리,11200620
2110576,대흥역 3번,11440600
2111010,석촌역 7번,11710600
2110098,서울독일학교,11170685
2110669,화곡보람2차아파트,11500591
2111081,둔촌푸르지오아파트,11740700
2110331,돌곶이역 8번,11290810
2110786,당산역 8번,11560560
2110956,언주역 8번,11680640
2111003,삼전역 4번,11710650
2110565,홍익대,11440655
2110149,세종대학교,11215730
2110110,상왕십리역 6번,11200520
2110539,미근동,11410565
2110505,홍남교남측,11410615
2110055,황학동벼룩시장,11140670
2110122,마장역 2번,11200540
2111065,천일초등학교,11740620
2110305,보문역 5번,11290600
2110499,연가초등학교,11410720
2110150,중곡1동 마을마당,11215740
2110236,신묵초등학교,11260630
2111023,문정역 1번,11710641
2110925,서초중학교,11650530
2110910,내방역 5번,11650621
2110775,대동초등학교,11560710
2110854,조원동주민센터,11620725
2110853,KT구로지사,11620725
2110918,방배역 3번,11650600
2110243,중랑노인종합복지관,11260520
2110935,한전아트센터,11650520
2110585,마포경찰서,11440555
2110871,신원동주민센터,11620655
2110811,보라매역 4번,11560680
2110992,도곡초등학교,11680630
2111043,마천공원,11710550
2111039,벌말어린이공원,11710570
2110771,대림역 11번,11560710
2110700,고척초등학교,11530720
2110903,방배아이파크아파트,11650590
2110709,구로119안전센터,11530530
2110986,삼성중앙역 7번,11680590
2110949,한남IC,11680510
2111026,문정역 2번,11710641
2110621,목동역 5번,11470510
2110684,서울공연예술고등학교,11530790
2110757,양평역 2번,11560610
2110878,미림여고,11620745
2110866,난우중학교,11620775
2110379,KT&G 북부지사,11305590
2110882,신성초등학교,11620665
2110724,금천구립가산도서관,11545510
2110926,신중초등학교,11650530
2111016,송파역 2번,11710590
2110223,군자초등학교,11230650
2110648,양천향교역 7번,11500603
2110629,송정역 4번,11500620
2110023,서울대병원,11110640
2110946,청계산원터골,11650652
2110160,광진경찰서,11215850
2110923,방배역 1번,11650620
2110788,영등포시장역 3번,11560535
2111011,잠실나루역,11710690
2110950,논현역 7번,11680521
2110991,삼성중앙역 5번,11680580
2110774,당산반도유보라팰리스아파트,11560560
2110796,한림대학교한강성심병원,11560535
2110601,신월1동우편취급국,11470560
2110687,"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",11530780
2110618,강서고등학교,11470540
2110545,마포구청역 1번,11440730
2110460,구산역 4번,11380552
2110483,연천초등학교,11380530
2110906,서문여고,11650621
2110626,양화초등학교,11470520
2110745,독산동정훈단지,11545620
2110790,대림1동주민센터,11560670
2110795,도림초등학교,11560650
2110501,연희어린이공원,11410615
2110514,서대문우체국,11410585
2110838,상도1동주민센터앞,11590530
2110488,우리은행응암동지점,11380580
2110288,동구여중,11290525
2110204,간데메공원,11230600
2110340,인수중학교,11305660
2110011,청운초등학교,11110515
2110189,제기동역 1번,11230545
2110231,장안교,11230660
2110475,백련산해모로아파트,11380580
2110890,봉천역 1번(관악초등학교),11620595
2110435,서울과학기술대,11350600
2110401,도봉구민회관,11320515
2110337,아카데미하우스,11305660
2110195,동대문구청,11230536
2110388,도봉우체국,11320680
2110224,외대앞역 2번,11230720
2110246,월드순복음교회,11260590
2110423,석계역 2번,11350560
2110271,신내역 1번,11260680
2110104,신금호역 4번,11200615
2110193,고려대역 4번,11230545
2110373,수유역 2번,11305590
2110960,은광여고,11680655
2111055,선사초등학교,11740580
2110773,당산역 13번,11560620
2110072,열정도,11170560
2110121,한양대역 4번,11200550
2110990,청담역 12번,11680565
2110797,KT대방빌딩,11560680
2110100,옥수동우편취급국,11200645
2110091,리움미술관,11170685
2110805,신길새마을금고신길4동지점,11560660
2110663,우장산롯데캐슬아파트앞,11500591
2110530,아현역 1번,11410555
2110026,종로5가역 4번,11110630
2110043,충무초등학교,11140580
2110564,홍대입구역 3번,11440660
2110948,헌인가구단지,11650660
